date,views
2009-06-24,12747
2009-06-25,1139394
2009-06-26,4972223
2015-07-01,19972
2015-07-02,19225
2015-07-03,18813
2015-07-04,19003
2015-07-05,19765
2015-07-06,20621
2015-07-07,19211
2015-07-08,21783
2015-07-09,19010
2015-07-10,19506
2015-07-11,19027
2015-07-12,19796
2015-07-13,19183
2015-07-14,18438
2015-07-15,17751
2015-07-16,18671
2015-07-17,17524
2015-07-18,20815
2015-07-19,18342
2015-07-20,17705
2015-07-21,17420
2015-07-22,17033
2015-07-23,18055
2015-07-24,19981
2015-07-25,20547
2015-07-26,20685
2015-07-27,24974
2015-07-28,19863
2015-07-29,23499
2015-07-30,18426
2015-07-31,17691
2015-08-01,22353
2015-08-02,19363
2015-08-03,16706
2015-08-04,17747
2015-08-05,19013
2015-08-06,18878
2015-08-07,18611
2015-08-08,20011
2015-08-09,21661
2015-08-10,19022
2015-08-11,17699
2015-08-12,18370
2015-08-13,20790
2015-08-14,19997
2015-08-15,18580
2015-08-16,19968
2015-08-17,19496
2015-08-18,19013
2015-08-19,18180
2015-08-20,20772
2015-08-21,17966
2015-08-22,21005
2015-08-23,20604
2015-08-24,18860
2015-08-25,19016
2015-08-26,20080
2015-08-27,19446
2015-08-28,22393
2015-08-29,60176
2015-08-30,43844
2015-08-31,23811
2015-09-01,20839
2015-09-02,17910
2015-09-03,18072
2015-09-04,18189
2015-09-05,19154
2015-09-06,19619
2015-09-07,19408
2015-09-08,19968
2015-09-09,17156
2015-09-10,17581
2015-09-11,17543
2015-09-12,19752
2015-09-13,19612
2015-09-14,17058
2015-09-15,16651
2015-09-16,17701
2015-09-17,17652
2015-09-18,18934
2015-09-19,18233
2015-09-20,20353
2015-09-21,18506
2015-09-22,17947
2015-09-23,17761
2015-09-24,19137
2015-09-25,17998
2015-09-26,18147
2015-09-27,18936
2015-09-28,17662
2015-09-29,20680
2015-09-30,20901
2015-10-01,18743
2015-10-02,20462
2015-10-03,21823
2015-10-04,19825
2015-10-05,18323
2015-10-06,17885
2015-10-07,19617
2015-10-08,19086
2015-10-09,18079
2015-10-10,22056
2015-10-11,27314
2015-10-12,18860
2015-10-13,19373
2015-10-14,17611
2015-10-15,18780
2015-10-16,18322
2015-10-17,20784
2015-10-18,19546
2015-10-19,19774
2015-10-20,19273
2015-10-21,19270
2015-10-22,21879
2015-10-23,24967
2015-10-24,22425
2015-10-25,21668
2015-10-26,20179
2015-10-27,19905
2015-10-28,21166
2015-10-29,21870
2015-10-30,22392
2015-10-31,23938
2015-11-01,22599
2015-11-02,21109
2015-11-03,20338
2015-11-04,21037
2015-11-05,19639
2015-11-06,19078
2015-11-07,21178
2015-11-08,21930
2015-11-09,19800
2015-11-10,19249
2015-11-11,22741
2015-11-12,20922
2015-11-13,19922
2015-11-14,20922
2015-11-15,19908
2015-11-16,17857
2015-11-17,18311
2015-11-18,17917
2015-11-19,18319
2015-11-20,19780
2015-11-21,18836
2015-11-22,19230
2015-11-23,18502
2015-11-24,18081
2015-11-25,18688
2015-11-26,19617
2015-11-27,18119
2015-11-28,20460
2015-11-29,21879
2015-11-30,22922
2015-12-01,19355
2015-12-02,19344
2015-12-03,22119
2015-12-04,25306
2015-12-05,20485
2015-12-06,21566
2015-12-07,20187
2015-12-08,20476
2015-12-09,19068
2015-12-10,19161
2015-12-11,19756
2015-12-12,19147
2015-12-13,20257
2015-12-14,19393
2015-12-15,18702
2015-12-16,19248
2015-12-17,20312
2015-12-18,19284
2015-12-19,18456
2015-12-20,19120
2015-12-21,17895
2015-12-22,18399
2015-12-23,17379
2015-12-24,17915
2015-12-25,19184
2015-12-26,18527
2015-12-27,17472
2015-12-28,17673
2015-12-29,17247
2015-12-30,19435
2015-12-31,20907
2016-01-01,18601
2016-01-02,20165
2016-01-03,18885
2016-01-04,17157
2016-01-05,17553
2016-01-06,19023
2016-01-07,19479
2016-01-08,19881
2016-01-09,26893
2016-01-10,24520
2016-01-11,23318
2016-01-12,21904
2016-01-13,21386
2016-01-14,22151
2016-01-15,21756
2016-01-16,20322
2016-01-17,21798
2016-01-18,20947
2016-01-19,21759
2016-01-20,23920
2016-01-21,20123
2016-01-22,19954
2016-01-23,20139
2016-01-24,21271
2016-01-25,19420
2016-01-26,20235
2016-01-27,25194
2016-01-28,30997
2016-01-29,28685
2016-01-30,25230
2016-01-31,24757
2016-02-01,22711
2016-02-02,21252
2016-02-03,21346
2016-02-04,22132
2016-02-05,28811
2016-02-06,40816
2016-02-07,32214
2016-02-08,40907
2016-02-09,38385
2016-02-10,29216
2016-02-11,27831
2016-02-12,23339
2016-02-13,25135
2016-02-14,27001
2016-02-15,25195
2016-02-16,32750
2016-02-17,29394
2016-02-18,25837
2016-02-19,25803
2016-02-20,24560
2016-02-21,28363
2016-02-22,25380
2016-02-23,25528
2016-02-24,25635
2016-02-25,25680
2016-02-26,24387
2016-02-27,25386
2016-02-28,25575
2016-02-29,23392
2016-03-01,22108
2016-03-02,22370
2016-03-03,24636
2016-03-04,22427
2016-03-05,24244
2016-03-06,22783
2016-03-07,20968
2016-03-08,21733
2016-03-09,21069
2016-03-10,20894
2016-03-11,26301
2016-03-12,21938
2016-03-13,27168
2016-03-14,24757
2016-03-15,28738
2016-03-16,22817
2016-03-17,21046
2016-03-18,20591
2016-03-19,35010
2016-03-20,32008
2016-03-21,23886
2016-03-22,21229
2016-03-23,19989
2016-03-24,20200
2016-03-25,21290
2016-03-26,21131
2016-03-27,39135
2016-03-28,21250
2016-03-29,20484
2016-03-30,19853
2016-03-31,19749
2016-04-01,19905
2016-04-02,19449
2016-04-03,22570
2016-04-04,21748
2016-04-05,19517
2016-04-06,29326
2016-04-07,31453
2016-04-08,25459
2016-04-09,21070
2016-04-10,22177
2016-04-11,22263
2016-04-12,25870
2016-04-13,24318
2016-04-14,21352
2016-04-15,21115
2016-04-16,20567
2016-04-17,21608
2016-04-18,20523
2016-04-19,22337
2016-04-20,19830
2016-04-21,123433
2016-04-22,133939
2016-04-23,73699
2016-04-24,55898
2016-04-25,43543
2016-04-26,35675
2016-04-27,30919
2016-04-28,29769
2016-04-29,26816
2016-04-30,25861
2016-05-01,26268
2016-05-02,24606
2016-05-03,24566
2016-05-04,27023
2016-05-05,34403
2016-05-06,24345
2016-05-07,22538
2016-05-08,22052
2016-05-09,22443
2016-05-10,21273
2016-05-11,20829
2016-05-12,20483
2016-05-13,19970
2016-05-14,19181
2016-05-15,21300
2016-05-16,21797
2016-05-17,22038
2016-05-18,21261
2016-05-19,22606
